profile;obis
MCC01_REGISTER;LP2_1-0:1.8.0.255,LP2_1-0:2.8.0.255
MCC01_INTERVAL;LP1_1-0:2.24.0.255
MCC12_REGISTER;LP2_1-0:1.8.0.255,LP2_1-0:2.8.0.255
MCC12_INTERVAL;LP1_1-0:1.24.0.255,LP1_1-0:2.24.0.255,
MCC16_REGISTER;LP2_1-0:2.8.0.255,LP2_1-0:1.8.1.255,LP2_1-0:1.8.2.255,LP2_1-0:1.8.3.255
MCC16_INTERVAL;LP1_1-0:2.24.0.255
ODR_DEBIT1_MONTHLY;BIL_1-0:1.8.0.255,BIL_1-0:2.8.0.255,BIL_1-0:3.8.0.255,BIL_1-0:4.8.0.255,BIL_1-0:1.8.1.255,BIL_1-0:1.8.2.255,BIL_1-0:1.8.3.255,BIL_1-0:1.8.4.255,BIL_1-0:1.8.5.255,BIL_1-0:1.8.6.255,BIL_1-0:1.8.7.255,BIL_1-0:1.8.8.255,BIL_1-0:1.6.0.255
ODR_A14_DEBIT1;BIL_1-0:1.8.0.255
ODR_A23_DEBIT1;BIL_1-0:2.8.0.255
ODR_A14_TOU_123_DEBIT1;BIL_1-0:1.8.1.255,BIL_1-0:1.8.2.255,BIL_1-0:1.8.3.255
ODR_P14_MAXIMUM_DEBIT1;BIL_1-0:1.6.0.255
ODR_POWER_QUALITY_REGISTERS;PQC_1-0:34.32.0.255,PQC_1-1:34.32.0.255,PQC_1-2:34.32.0.255,PQC_1-3:34.32.0.255,PQC_1-0:34.36.0.255,PQC_1-1:34.36.0.255,PQC_1-2:34.36.0.255,PQC_1-3:34.36.0.255,PQC_1-1:32.32.0.255,PQC_1-2:32.32.0.255,PQC_1-1:32.36.0.255,PQC_1-2:32.36.0.255,PQC_0-1:96.7.21.255,PQC_0-2:96.7.21.255,PQC_1-3:32.36.0.255,PQC_1-1:31.36.0.255,PQC_1-3:32.32.0.255,PQC_1-4:32.36.0.255
ODR_ALL_ANALYSIS;PQA_1-0:32.24.0.255,PQA_1-0:32.23.0.255,PQA_1-0:31.24.0.255,PQA_1-0:21.24.0.255,PQA_1-0:13.5.0.255,PQA_1-0:1.26.0.255,PQA_1-1:32.7.0.255,PQA_1-1:31.7.0.255
ODR_ALL_INST;INST_1-0:1.8.0.255,INST_1-0:2.8.0.255,INST_1-0:1.8.1.255,INST_1-0:1.8.2.255,INST_1-0:1.8.3.255,INST_1-0:1.8.4.255,INST_1-0:1.8.5.255,INST_1-0:1.8.6.255,INST_1-0:1.8.7.255,INST_1-0:1.8.8.255,INST_1-0:1.6.0.255,INST_1-0:32.24.0.255,INST_1-0:31.24.0.255
ODR_A14_INST;INST_1-0:1.8.0.255
ODR_A23_INST;INST_1-0:2.8.0.255
ODR_A14_TOU_123_INST;INST_1-0:1.8.1.255,INST_1-0:1.8.2.255,INST_1-0:1.8.3.255
ODR_P14_MAXIMUM_INST;INST_1-0:1.6.0.255
ODR_VOLTAGEL1AVERAGE_INST;INST_1-0:32.24.0.255
ODR_CURRENTL1AVERAGE_INST;INST_1-0:31.24.0.255
ODR_CIM_ACCESS_EVENTS;Security Log	 			  
ODR_CIM_DISCONNECT_EVENTS;Disconnector Control Log
ODR_CIM_FRAUD_EVENTS;Fraud Detection  Log
ODR_CIM_VQ1_EVENTS;Power Quality Event Log
ODR_CIM_STD_EVENTS;Standard Event Log
ODR_CIM_EVENTS;Security Log,Disconnector Control Log,Fraud Detection Log,Power Quality Event Log,Standard Event Log  







