profile;obis
ERegisters;P1D_1-0:1.8.1.255,P1D_1-0:1.8.2.255,P1D_1-0:2.8.1.255,P1D_1-0:2.8.2.255
EIntervallen;P15MIN_1-0:1.8.0.255,P15MIN_1-0:2.8.0.255
PQ1;P15MIN_1-0:32.24.0.255,P15MIN_1-0:52.24.0.255,P15MIN_1-0:72.24.0.255
PQ2;P15MIN_1-0:31.24.0.255,P15MIN_1-0:51.24.0.255,P15MIN_1-0:71.24.0.255
PQ3;P15MIN_1-0:3.4.0.255,P15MIN_1-0:4.4.0.255
PQ4;P1M_1-0:1.6.0.255,P1M_1-0:2.6.0.255,P1M_1-0:3.6.0.255,P1M_1-0:4.6.0.255
GRegisters;P1D_7-0:3.1.0.255
Gintervallen;P60MIN_7-0:3.1.0.255
GRegisters_GIntervallen;P60MIN_7-0:3.1.0.255,P1D_7-0:3.1.0.255
PQ1_PQ2;P15MIN_1-0:32.24.0.255,P15MIN_1-0:52.24.0.255,P15MIN_1-0:72.24.0.255,P15MIN_1-0:31.24.0.255,P15MIN_1-0:51.24.0.255,P15MIN_1-0:71.24.0.255
PQ1_PQ3;P15MIN_1-0:32.24.0.255,P15MIN_1-0:52.24.0.255,P15MIN_1-0:72.24.0.255,P15MIN_1-0:3.4.0.255,P15MIN_1-0:4.4.0.255
PQ1_PQ4;P1M_1-0:1.6.0.255,P1M_1-0:2.6.0.255,P1M_1-0:3.6.0.255,P1M_1-0:4.6.0.255,P15MIN_1-0:32.24.0.255,P15MIN_1-0:52.24.0.255,P15MIN_1-0:72.24.0.255
PQ2_PQ3;P15MIN_1-0:31.24.0.255,P15MIN_1-0:51.24.0.255,P15MIN_1-0:71.24.0.255,P15MIN_1-0:3.4.0.255,P15MIN_1-0:4.4.0.255
PQ2_PQ4;P15MIN_1-0:31.24.0.255,P15MIN_1-0:51.24.0.255,P15MIN_1-0:71.24.0.255,P1M_1-0:1.6.0.255,P1M_1-0:2.6.0.255,P1M_1-0:3.6.0.255,P1M_1-0:4.6.0.255
